Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
TPC,2023-09-17,409570000.0,41570000.0,1.00 ,N/A ,-4.11 ,N/A ,N/A ,5.28  
CNSL,2023-09-17,409300000.0,73430000.0,1.07 ,N/A ,-2.8333 ,N/A ,0.3874 ,3.17  
GIM,2023-09-17,N/A 
MMU,2023-09-17,N/A 
DAKT,2023-09-17,425160000.0,37270000.0,0.79 ,13.18 ,0.68 ,0.00  ,0.05 ,2.77  
EWTX,2023-09-17,427080000.0,39180000.0,1.29 ,N/A ,-1.34 ,N/A ,N/A ,13.90  
OSUR,2023-09-17,405980000.0,70100000.0,0.76 ,9.41 ,0.59 ,N/A ,N/A ,3.50  
URG,2023-09-17,405470000.0,251730000.0,N/A ,N/A ,-0.07 ,N/A ,N/A ,1.96  
ISD,2023-09-17,N/A 
PLM,2023-09-17,405440000.0,33790000.0,N/A ,N/A ,-0.22 ,N/A ,N/A ,0.33  
HNRG,2023-09-17,399700000.0,22620000.0,0.92 ,5.97 ,2.02 ,0.00  ,0.04 ,5.34  
NML,2023-09-17,N/A 
GCI,2023-09-17,396530000.0,127930000.0,1.59 ,N/A ,-0.2408 ,0.00  ,0.3800 ,11.65  
NETI,2023-09-17,410430000.0,23800000.0,1.08 ,N/A ,-0.58 ,0.39  ,0.01 ,3.88  
AMWL,2023-09-17,395700000.0,223100000.0,1.31 ,N/A ,-2.2205 ,N/A ,N/A ,4.28  
LUNG,2023-09-17,394350000.0,32830000.0,1.45 ,N/A ,-1.61 ,N/A ,N/A ,3.84  
FNKO,2023-09-17,394210000.0,28580000.0,1.34 ,N/A ,-3.41 ,N/A ,N/A ,11.51  
IGD,2023-09-17,N/A 
GLAD,2023-09-17,393730000.0,37360000.0,0.96 ,10.71 ,0.95 ,9.71  ,0.08 ,0.71  
MBSC,2023-09-17,391870000.0,29540000.0,0.01 ,97.94 ,0.11 ,N/A ,N/A ,0.01  
DDL,2023-09-17,391550000.0,143140000.0,1.22 ,N/A ,-0.2657 ,N/A ,N/A ,2.94  
FFIC,2023-09-17,390430000.0,27330000.0,0.92 ,8.65 ,1.56 ,6.53  ,0.22 ,1.78  
HRZN,2023-09-17,390060000.0,31660000.0,N/A ,21.12 ,0.58 ,10.86  ,0.11 ,1.48  
UVE,2023-09-17,389830000.0,26920000.0,0.89 ,71.44 ,0.18 ,4.94  ,0.16 ,3.37  
ERAS,2023-09-17,389690000.0,92600000.0,1.31 ,N/A ,-1.7881 ,N/A ,N/A ,9.64  
NEGG,2023-09-17,389090000.0,19840000.0,0.98 ,N/A ,N/A ,N/A ,N/A ,8.52  
NNOX,2023-09-17,399910000.0,51270000.0,1.71 ,N/A ,-1.75 ,N/A ,N/A ,13.30  
NETD,2023-09-17,N/A ,30500000.0,-0.01 ,N/A ,N/A ,N/A ,N/A ,N/A 
AMSWA,2023-09-17,385400000.0,31890000.0,0.96 ,34.79 ,0.32 ,3.90  ,0.11 ,0.56  
DSX,2023-09-17,395490000.0,85060000.0,0.97 ,3.81 ,0.9405 ,17.46  ,0.1500 ,1.81  
LAW,2023-09-17,383680000.0,23570000.0,2.04 ,N/A ,-1.25 ,N/A ,N/A ,3.28  
TRVG,2023-09-17,383350000.0,106980000.0,0.94 ,N/A ,-0.1076 ,N/A ,N/A ,0.37  
EVC,2023-09-17,336150000.0,59350000.0,0.90 ,42.42 ,0.0884 ,5.33  ,0.0500 ,2.60  
ALDX,2023-09-17,382630000.0,56290000.0,1.52 ,N/A ,-0.89 ,N/A ,N/A ,10.81  
TPVG,2023-09-17,382120000.0,34960000.0,1.24 ,N/A ,-0.69 ,14.84  ,0.40 ,7.36  
PGEN,2023-09-17,380670000.0,120390000.0,1.65 ,N/A ,-0.3239 ,N/A ,N/A ,11.37  
SLDP,2023-09-17,379970000.0,124110000.0,1.38 ,N/A ,-0.2504 ,N/A ,N/A ,8.11  
